,0
Age,0.38978088391702465
NumOfProducts,0.2853369597633844
EngagementScore,0.08411703640368962
Balance,0.06459159488645441
Geography_Germany,0.05040475641344299
IsActiveMember,0.04316086707092288
BalanceSalaryRatio,0.023256369728148152
CreditScore,0.01761134669796148
EstimatedSalary,0.013700280207639784
AgeTenureRatio,0.006853066203889474
Gender_Male,0.006543061691276301
Gender_Female,0.00653095285244534
ProductDensity,0.003641064924647652
Geography_France,0.0018312944304413386
HasCrCard,0.0009057191817681377
ZeroBalance,0.0007842926783628467
Tenure,0.0007460925304752111
Geography_Spain,0.00020436041802526534
